model,exact_model,setup,version,correct,outdated,wrong
Baseline,Baseline_P1,,20,211,143,146
Baseline,Baseline_L5,,21,254,127,119
RTA,RTA_03,,9,282,94,91
RTA,RTA_05,,11,242,141,117
RTA,RTA_07,,8,270,105,104
RCA,RCA,RCA_C,25,266,101,113
RCA,RCA,RCA_MV,39,224,153,123
RCA,RCA,RCA_R,26,218,104,109
RCA,RCA_T,RCA_C,32,282,91,109
RCA,RCA_T,RCA_MV,31,281,103,102
RCA,RCA_T,RCA_R,34,215,114,98
RCO,RCO_T1,,18,276,91,98
RCO,RCO_T07,,17,282,92,93
RCDS,RCDS,,5,274,103,91
RCDS,RCDS_D,,9,265,103,102
RCDS,RCDS_TS,,15,261,103,100
