model,exact_model,setup,version,found_updated,found_outdated
Baseline,Baseline_L5,,21,438,439
Baseline,Baseline_L3,,20,414,416
Baseline,Baseline_P1,,20,142,254
RCA,RCA,RCA_MV,39,411,417
RCA,RCA,RCA_C,25,411,417
RCA,RCA,RCA_R,26,411,417
RCA,RCA_T,RCA_MV,31,411,417
RCA,RCA_T,RCA_C,32,411,417
RCA,RCA_T,RCA_R,34,411,417
RCDS,RCDS,,5,411,417
RCDS,RCDS_D,,9,411,417
RCDS,RCDS_TS,,15,411,417
RCO,RCO_T1,,18,289,297
RCO,RCO_T07,,17,287,298
RTA,RTA_03,,9,225,150
RTA,RTA_05,,11,219,171
RTA,RTA_07,,8,211,189
