model,exact_model,setup,version,correct,outdated,wrong
Baseline,Baseline_L5,,27,214,108,175
Baseline,Baseline_L3,,26,211,110,175
Baseline,Baseline_P1,,25,168,134,197
RCA,RCA,RCA_C,25,196,133,171
RCA,RCA,RCA_MV,39,196,141,163
RCA,RCA,RCA_R,26,175,90,232
RCA,RCA_T,RCA_C,32,265,86,149
RCA,RCA_T,RCA_MV,31,247,99,154
RCA,RCA_T,RCA_R,34,167,75,255
RCDS,RCDS,,5,219,111,169
RCDS,RCDS_D,,9,220,109,170
RCDS,RCDS_TS,,15,236,83,181
RCO,RCO_T1,,18,248,86,163
RCO,RCO_T07,,17,258,82,158
RTA,RTA_03,,9,252,76,171
RTA,RTA_05,,11,242,94,162
RTA,RTA_07,,8,237,105,157
